end_station,end_terminal,trips,cluster
2nd at Folsom,62,4727,3
2nd at South Park,64,8253,3
2nd at Townsend,61,15463,4
5th at Howard,57,8147,3
Adobe on Almaden,5,490,2
Arena Green / SAP Center,14,621,2
Beale at Market,56,6330,3
Broadway St at Battery St,82,7159,3
California Ave Caltrain Station,36,496,2
Castro Street and El Camino Real,32,1116,2
Civic Center BART (7th at Market),72,7714,3
Clay at Battery,41,5068,3
Commercial at Montgomery,45,5821,3
Cowper at University,37,576,2
Davis at Jackson,42,5182,3
Embarcadero at Bryant,54,6687,3
Embarcadero at Folsom,51,7229,3
Embarcadero at Sansome,60,15065,4
Embarcadero at Vallejo,48,6146,3
Evelyn Park and Ride,30,725,2
Franklin at Maple,21,100,2
Golden Gate at Polk,59,2852,2
Grant Avenue at Columbus Avenue,73,4319,3
Harry Bridges Plaza (Ferry Building),50,17810,4
Howard at 2nd,63,7275,3
Japantown,9,976,2
Market at 10th,67,10220,3
Market at 4th,76,9685,3
Market at Sansome,77,13916,4
Mechanics Plaza (Market at Battery),75,6262,3
Mezes Park,83,145,2
MLK Library,11,960,2
Mountain View Caltrain Station,28,3828,3
Mountain View City Hall,27,1724,2
Palo Alto Caltrain Station,34,900,2
Park at Olive,38,417,2
Paseo de San Antonio,7,1073,2
Post at Kearny,47,4803,3
Powell at Post (Union Square),71,4134,3
Powell Street BART,39,10239,3
Redwood City Caltrain Station,22,799,2
Redwood City Medical Center,26,230,2
Redwood City Public Library,24,98,2
Rengstorff Avenue / California Street,33,441,2
Ryland Park,84,880,2
San Antonio Caltrain Station,29,1046,2
San Antonio Shopping Center,31,1099,2
San Francisco Caltrain (Townsend at 4th),70,34810,1
San Francisco Caltrain 2 (330 Townsend),69,22523,4
San Francisco City Hall,58,1627,2
San Jose City Hall,10,671,2
San Jose Civic Center,3,909,2
San Jose Diridon Caltrain Station,2,5045,3
San Mateo County Center,23,187,2
San Pedro Square,6,1595,2
San Salvador at 1st,8,547,2
Santa Clara at Almaden,4,1878,2
Santa Clara County Civic Center,80,489,2
SJSU - San Salvador at 9th,16,445,2
SJSU 4th at San Carlos,12,647,2
South Van Ness at Market,66,4879,3
Spear at Folsom,49,4991,3
St James Park,13,729,2
Stanford in Redwood City,25,436,2
Steuart at Market,74,13617,4
Temporary Transbay Terminal (Howard at Beale),55,12966,4
Townsend at 7th,65,15422,4
University and Emerson,35,724,2
Washington at Kearny,46,3481,2
Yerba Buena Center of the Arts (3rd @ Howard),68,6288,3